algorithm,category,file,n,m,time,exitcode,output
p5,real_world,real_world/gemsec_facebook_government.txt,7057,89455,0.06741332599995076,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/real_world/gemsec_facebook_government.txt
p5,real_world,real_world/gemsec_facebook_newsites.txt,27917,206259,0.1462031040000511,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/real_world/gemsec_facebook_newsites.txt
p5,real_world,real_world/gemsec_facebook_politician.txt,5908,41729,0.033373520000168355,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/real_world/gemsec_facebook_politician.txt
p5,real_world,real_world/gemsec_facebook_public_figure.txt,11565,67114,0.05285421500002485,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/real_world/gemsec_facebook_public_figure.txt
p5,real_world,real_world/gemsec_facebook_tvshows.txt,3892,17262,0.015548003999811044,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/real_world/gemsec_facebook_tvshows.txt
p5,real_world,real_world/git.txt,37700,289003,0.21340947299995605,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/real_world/git.txt
p5,real_world,real_world/twitch_de.txt,9498,153138,0.1043715560003875,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/real_world/twitch_de.txt
p5,real_world,real_world/twitch_en.txt,7126,35324,0.02988324600028136,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/real_world/twitch_en.txt
p5,real_world,real_world/twitch_es.txt,4648,59382,0.04799455100010164,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/real_world/twitch_es.txt
p5,real_world,real_world/twitch_fr.txt,6549,112666,0.07967983600019579,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/real_world/twitch_fr.txt
p5,real_world,real_world/twitch_pt.txt,1912,31299,0.025451861999954417,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/real_world/twitch_pt.txt
p5,real_world,real_world/twitch_ru.txt,4385,37304,0.03236911100020734,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/real_world/twitch_ru.txt
p5,real_world,real_world/us_power_grid_0indexed.txt,4941,6594,0.007673286999761331,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/real_world/us_power_grid_0indexed.txt
p5,small,small/small_01.txt,3,2,0.0029263920000630606,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/small/small_01.txt
p5,small,small/small_02.txt,4,4,0.0021894220003559894,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/small/small_02.txt
p5,small,small/small_03.txt,5,4,0.0020481589999690186,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/small/small_03.txt
p5,small,small/small_04.txt,6,6,0.0021179750001465436,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/small/small_04.txt
p5,small,small/small_05.txt,7,7,0.0020127409998167423,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/small/small_05.txt
p5,small,small/small_06.txt,5,8,0.002007343000059336,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/small/small_06.txt
p5,small,small/small_07.txt,8,8,0.0020209109998177155,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/small/small_07.txt
p5,small,small/small_08.txt,6,9,0.002016206999996939,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/small/small_08.txt
p5,small,small/small_09.txt,10,9,0.001955024000380945,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/small/small_09.txt
p5,small,small/small_10.txt,12,12,0.001989545000014914,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/small/small_10.txt
p5,sparse,sparse/sparse_01.txt,10,12,0.002303578999999445,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/sparse/sparse_01.txt
p5,sparse,sparse/sparse_02.txt,20,25,0.002062252000087028,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/sparse/sparse_02.txt
p5,sparse,sparse/sparse_03.txt,30,40,0.0020499600000221108,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/sparse/sparse_03.txt
p5,sparse,sparse/sparse_04.txt,50,65,0.002106484999785607,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/sparse/sparse_04.txt
p5,sparse,sparse/sparse_05.txt,15,18,0.0019308280002405809,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/sparse/sparse_05.txt
p5,sparse,sparse/sparse_06.txt,25,35,0.0018290489997525583,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/sparse/sparse_06.txt
p5,sparse,sparse/sparse_07.txt,40,55,0.0019234449996474723,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/sparse/sparse_07.txt
p5,sparse,sparse/sparse_08.txt,35,50,0.0020729259999825445,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/sparse/sparse_08.txt
p5,sparse,sparse/sparse_09.txt,60,80,0.0022768559997530247,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/sparse/sparse_09.txt
p5,sparse,sparse/sparse_10.txt,45,60,0.002450429999953485,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/sparse/sparse_10.txt
p5,tree_like,tree_like/tree_01.txt,15,14,0.002272092000112025,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/tree_like/tree_01.txt
p5,tree_like,tree_like/tree_02.txt,20,19,0.002101289999700384,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/tree_like/tree_02.txt
p5,tree_like,tree_like/tree_03.txt,25,24,0.0017275710001740663,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/tree_like/tree_03.txt
p5,tree_like,tree_like/tree_04.txt,30,30,0.0014339740000650636,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/tree_like/tree_04.txt
p5,tree_like,tree_like/tree_05.txt,31,30,0.001439661999938835,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/tree_like/tree_05.txt
p5,tree_like,tree_like/tree_06.txt,41,40,0.001550723000036669,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/tree_like/tree_06.txt
p5,tree_like,tree_like/tree_07.txt,35,34,0.001442504999886296,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/tree_like/tree_07.txt
p5,tree_like,tree_like/tree_08.txt,28,27,0.0016908829998101282,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/tree_like/tree_08.txt
p5,tree_like,tree_like/tree_09.txt,25,26,0.0018298720001439506,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/tree_like/tree_09.txt
p5,tree_like,tree_like/tree_10.txt,50,54,0.0023755570000503212,0,/home/arnav-agnihotri/Downloads/AAD_CP/outputs/p5/tree_like/tree_10.txt
